"Species","dryWeight.mean","dryWeight.max","dryWeight.sd","nsamples","trait.db.name","taxonID"
"Metridia assymetrica",0.592032247932154,0.592032247932154,NA,1,"Metridia asymmetrica",1414
"Metridia curticauda",0.17000094357776,0.183993164340644,0.0197879883705888,2,"Metridia curticauda",1419
"Metridia okhotensis",0.367959261406441,0.592001249804718,0.0970515539343128,84,"Metridia okhotensis",1430
"Metridia pacifica",0.0824630742789442,0.136039732239257,0.0361050363022902,2118,"Metridia pacifica",1432
"Metridia pseudopacifica",0.0826699369404637,0.125020018149789,0.0387029289201914,653,"Metridia pseudopacifica",6183
"Microcalanus pusillus",0.00273768634289737,0.00353489771359807,0.000603663007537096,1062,"Microcalanus pusillus",1440
"Microcalanus pygmaeus",0.00528449037758113,0.00801078474580665,0.00163336574167437,491,"Microcalanus pygmaeus",1441
"Microsetella norvegica",0.00150130564012689,0.00156794425087108,1.54401118253121e-05,30,"Microsetella norvegica",3957
"Microsetella rosea",0.00147791482920804,0.00153262886182141,0.000106836138528463,65,"Microsetella rosea",3958
"Mikroconchoecia",0.0999996602830566,0.100033344448149,8.99903136773275e-06,42,"Mikroconchoecia",4491
"Mimonectes loveni",0.0399653979238754,0.0399653979238754,NA,1,"Mimonectes loveni",127
"Mitrocoma",12.4891191321885,13.0096463022508,1.57960984041776,864,"Mitrocoma",3286
"Mitrocomella",3.09994481353727,3.1002989040186,0.000500759561007172,2,"Mitrocomella",3289
"Mixtocalanus",0.309952038369305,0.309952038369305,NA,1,"Mixtocalanus",1461
"Modeeria rotunda",16.8726153846154,16.8726153846154,NA,1,"Modeeria rotunda",3296
"Muggiaea atlantica",0.640892403754238,2.41977611940298,0.370952741875914,640,"Muggiaea atlantica",5121
"Myctophiformes",34.5533413285446,139.664082687338,33.5745992802477,423,"Myctophiformes",5816
"Nanomia bijuga",0.21504403983285,0.97250358157187,0.182690280813603,273,"Nanomia bijuga",5125
"Nematobrachion",8.88947546143003,12.0048030739673,4.99262505620996,26,"Nematobrachion",3033
"Nematoscelis",6.58150512300712,16.0075675675676,6.87615992079188,108,"Nematoscelis",3036
"Neocalanus cristatus",1.48300290446206,2.73027798647633,0.269668776600411,1632,"Neocalanus cristatus",1475
"Neocalanus flemingeri",0.38702788505552,0.538158366176997,0.081623405557457,278,"Neocalanus flemingeri",1476
"Neocalanus plumchrus",0.503254687624412,0.63855421686747,0.10033987265928,945,"Neocalanus plumchrus",1478
"Neomormonilla minor",0.000999096055949379,0.000999096055949379,NA,1,"Neomormonilla minor",4045
"Neomysis",3.39583567257596,6.6999425409018,2.28810769419665,41,"Neomysis",3604
"Nullosetigera bidentatus",0.0289961948678323,0.0289972789668196,1.53314749080113e-06,2,"Nullosetigera bidentata",1502
"Nullosetigera integer",0.0293542074363992,0.0293542074363992,NA,1,"Nullosetigera integer",1506
"Nyctiphanes simplex",1.51522262278695,5.39993617268191,2.17672515455463,5,"Nyctiphanes simplex",3041
"Obelia",0.525779055702023,1.08000710497602,0.120875283291424,45,"Obelia",3310
"Octopoda",2.31048005133495,4.30208333333333,0.950769599620257,95,"Octopoda",5852
"Oedicerotidae",0.803317847529288,2.20008532423208,0.448512366337485,12,"Oedicerotidae",132
"Oikopleura dioica",0.0703830678695277,0.200003726615488,0.00704740998965845,1018,"Oikopleura (Vexillaria) dioica",305
"Oikopleura labradoriensis",0.21597280036993,0.610193826274228,0.0741244262996052,798,"Oikopleura (Vexillaria) labradoriensis",308
"Oikopleura longicauda",0.102188973787696,0.53000397573519,0.0867712570872495,151,"Oikopleura (Coecaria) longicauda",300
"Oithona atlantica",0.00235983593270206,0.00253228665484933,0.000139302518579608,2590,"Oithona atlantica",4057
"Oithona setigera",0.00276321345108206,0.00422896990887693,0.000249216541547231,234,"Oithona setigera setigera",4090
"Oithona similis",0.00138226293909789,0.00151020607005408,0.000175320681031082,2940,"Oithona similis",4091
"Oithona tenuis",0.00119548360829901,0.00121131603626133,1.54046509607009e-05,11,"Oithona tenuis",4093
"Oncaea englishi",0.00130763065761168,0.00130763065761168,NA,1,"Oncaea englishi",4116
"Oncaea grossa",0.000897646910504932,0.000901945625563716,4.30165666178936e-06,4,"Oncaea grossa",4119
"Oncaea parila",0.000898495795299562,0.000901284507841885,4.22171718167914e-06,3,"Oncaea parila",4145
"Oncaea prolata",0.0009914907812848,0.00101708706265256,2.97434016715492e-05,262,"Oncaea prolata",4149
"Onchocalanus cristatus",3.51084337349398,3.51084337349398,NA,1,"Onchocalanus cristatus",1517
"Opisa tridentata",4.21959027299982,4.22086956521739,0.00130698015388483,3,"Opisa tridentata",136
"Oplophoridae",33.9609421884107,65.009185548071,19.6340492089627,5,"Oplophoridae",2859
"Orchomenella",2.88967048884294,17.2838244137102,4.09748078954435,76,"Orchomenella",139
"Oregoniidae",2.38101301586264,14.1047687861272,4.94300396914014,123,"Oregoniidae",2865
"Orthoconchoecia bispinosa",0.200029023839176,0.200083542188805,4.72472419836494e-05,3,"Orthoconchoecia bispinosa",4512
"Orthoconchoecia haddoni",0.200007996321692,0.200007996321692,NA,1,"Orthoconchoecia haddoni",4513
"Orthoconchoecia striola",0.199997263379466,0.200603318250377,9.43391014354532e-05,137,"Orthoconchoecia striola",4515
"Osmeriformes",21.5084360467763,76.3340540540541,27.9186739183809,133,"Osmeriformes",5890
"Oweniidae",0.0220000128291577,0.022006805766992,1.37981289133988e-06,77,"Oweniidae",5892
"Oxycephalus",5.60525224709932,6.50172771250864,2.1846205324861,13,"Oxycephalus",142
"Pacifacanthomysis nephrophthalma",1.69860241528139,2.36067827681027,0.752779001740599,84,"Pacifacanthomysis nephrophthalma",3615
"Paguridae",0.205925605463003,0.650195058517555,0.0898801562699579,487,"Paguridae",2869
